,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.167,0.075,0.018,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,0.009,0.012,0.007,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.14,0.083,0.037,0.004,0.0,0.0,0.0,0.0,0.0,0.0
artificial.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.5,0.272,0.158,0.048,0.004,0.0,0.0,0.0,0.0,0.0,0.0
artificial.6,0.02,0.005,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.7,0.083,0.034,0.013,0.003,0.001,0.001,0.0,0.0,0.0,0.0
artificial.8,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.9,0.322,0.194,0.083,0.021,0.002,0.0,0.0,0.0,0.0,0.0
artificial.10,0.505,0.315,0.084,0.004,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.207,0.111,0.033,0.004,0.001,0.0,0.0,0.0,0.0,0.0
artificial.12,0.052,0.048,0.042,0.026,0.0,0.0,0.0,0.0,0.0,0.0
artificial.13,0.112,0.051,0.014,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.14,0.554,0.352,0.118,0.008,0.002,0.0,0.0,0.0,0.0,0.0
artificial.15,0.119,0.027,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.109,0.045,0.011,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.178,0.119,0.079,0.032,0.005,0.0,0.0,0.0,0.0,0.0
artificial.19,0.167,0.121,0.091,0.116,0.099,0.01,0.0,0.0,0.0,0.0
artificial.20,0.093,0.038,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.21,0.264,0.107,0.028,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.22,0.039,0.022,0.015,0.004,0.0,0.0,0.0,0.0,0.0,0.0
artificial.23,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.24,0.379,0.35,0.236,0.069,0.007,0.0,0.0,0.0,0.0,0.0
artificial.25,0.034,0.015,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.26,0.02,0.008,0.003,0.002,0.001,0.0,0.0,0.0,0.0,0.0
artificial.27,0.358,0.343,0.234,0.143,0.101,0.019,0.0,0.0,0.0,0.0
artificial.28,0.095,0.052,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.29,0.166,0.159,0.111,0.05,0.017,0.0,0.0,0.0,0.0,0.0
artificial.30,0.014,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.31,0.059,0.027,0.016,0.011,0.011,0.004,0.0,0.0,0.0,0.0
artificial.32,0.222,0.198,0.12,0.032,0.0,0.0,0.0,0.0,0.0,0.0
artificial.33,0.11,0.055,0.017,0.005,0.0,0.0,0.0,0.0,0.0,0.0
artificial.34,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.36,0.045,0.026,0.019,0.02,0.027,0.008,0.0,0.0,0.0,0.0
artificial.37,0.119,0.1,0.091,0.092,0.076,0.023,0.0,0.0,0.0,0.0
artificial.38,0.126,0.062,0.023,0.009,0.002,0.0,0.0,0.0,0.0,0.0
artificial.39,0.068,0.034,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.40,0.24,0.125,0.038,0.005,0.0,0.0,0.0,0.0,0.0,0.0
artificial.41,0.069,0.037,0.011,0.004,0.001,0.0,0.0,0.0,0.0,0.0
artificial.42,0.172,0.129,0.09,0.064,0.014,0.0,0.0,0.0,0.0,0.0
artificial.43,0.106,0.041,0.007,0.001,0.001,0.0,0.0,0.0,0.0,0.0
artificial.44,0.089,0.043,0.01,0.006,0.003,0.0,0.0,0.0,0.0,0.0
artificial.45,0.074,0.04,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.46,0.107,0.048,0.017,0.003,0.002,0.0,0.0,0.0,0.0,0.0
artificial.47,0.167,0.085,0.04,0.021,0.006,0.0,0.0,0.0,0.0,0.0
artificial.48,0.013,0.005,0.002,0.003,0.008,0.001,0.0,0.0,0.0,0.0
artificial.49,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.50,0.545,0.379,0.22,0.08,0.025,0.002,0.0,0.0,0.0,0.0
artificial.51,0.101,0.053,0.019,0.006,0.003,0.0,0.0,0.0,0.0,0.0
artificial.52,0.034,0.019,0.013,0.012,0.014,0.004,0.0,0.0,0.0,0.0
artificial.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.54,0.038,0.007,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.55,0.023,0.017,0.009,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.56,0.007,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.57,0.182,0.115,0.07,0.008,0.0,0.0,0.0,0.0,0.0,0.0
artificial.58,0.06,0.026,0.014,0.005,0.001,0.0,0.0,0.0,0.0,0.0
artificial.59,0.128,0.083,0.06,0.023,0.001,0.0,0.0,0.0,0.0,0.0
artificial.60,0.009,0.009,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.61,0.17,0.089,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0
artificial.62,0.108,0.065,0.026,0.009,0.007,0.002,0.0,0.0,0.0,0.0
artificial.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.64,0.098,0.03,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.65,0.409,0.326,0.238,0.089,0.004,0.0,0.0,0.0,0.0,0.0
artificial.66,0.155,0.068,0.015,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.67,0.071,0.024,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.68,0.275,0.237,0.212,0.187,0.151,0.027,0.0,0.0,0.0,0.0
artificial.69,0.004,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.70,0.278,0.236,0.195,0.135,0.013,0.0,0.0,0.0,0.0,0.0
artificial.71,0.229,0.262,0.268,0.279,0.134,0.002,0.0,0.0,0.0,0.0
