,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
CD4Tcm_CCR2pos_CD25_PI,0.511,0.412,0.273,0.115,0.029,0.002,0.0,0.0,0.0,0.0
NKT_CD25_PI,0.233,0.159,0.053,0.02,0.006,0.0,0.0,0.0,0.0,0.0
CD8Teff_HLADR_PI,0.175,0.163,0.113,0.025,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cpos_HLADR_PI,0.309,0.263,0.255,0.219,0.065,0.0,0.0,0.0,0.0,0.0
cMCs_HLADR_PI,0.08,0.04,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_HLADR_PI,0.064,0.035,0.009,0.003,0.0,0.0,0.0,0.0,0.0,0.0
mDCs_HLADR_PI,0.33,0.193,0.061,0.017,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_HLADR_PI,0.096,0.057,0.028,0.012,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_HLADR_PI,0.3,0.228,0.139,0.036,0.002,0.0,0.0,0.0,0.0,0.0
intMCs_IkB_PI,0.248,0.085,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pCREB_PI,0.076,0.018,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pCREB_PI,0.051,0.005,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pCREB_PI,0.069,0.025,0.005,0.004,0.008,0.0,0.0,0.0,0.0,0.0
Granulocytes_pCREB_PI,0.041,0.051,0.063,0.066,0.029,0.003,0.0,0.0,0.0,0.0
MDSCs_pCREB_PI,0.267,0.229,0.126,0.058,0.02,0.001,0.0,0.0,0.0,0.0
cMCs_pCREB_PI,0.216,0.189,0.183,0.161,0.104,0.015,0.0,0.0,0.0,0.0
intMCs_pCREB_PI,0.007,0.004,0.007,0.009,0.011,0.004,0.0,0.0,0.0,0.0
mDCs_pCREB_PI,0.149,0.117,0.103,0.091,0.104,0.033,0.0,0.0,0.0,0.0
pDCs_pCREB_PI,0.154,0.066,0.012,0.003,0.001,0.0,0.0,0.0,0.0,0.0
CD4Teff_pERK_PI,0.089,0.04,0.011,0.003,0.002,0.0,0.0,0.0,0.0,0.0
CD4Tem_pERK_PI,0.037,0.021,0.007,0.002,0.0,0.0,0.0,0.0,0.0,0.0
