,Feature Name
Feature n°1,CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast
Feature n°2,CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°3,CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal
Feature n°4,CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°5,CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal
Feature n°6,CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°7,CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.fibroblast
Feature n°8,CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.fibroblast
Feature n°9,CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.mesenchymal
Feature n°10,CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast
Feature n°11,CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°12,CD4_T_cells_CD11b+_glandfront_aggregatedNeighbors.Stroma.fibroblast
Feature n°13,CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast
Feature n°14,CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°15,Stroma_mesenchymal_stromal_aggregatedNeighbors.Stroma.mesenchymal
Feature n°16,Stroma_mesenchymal_stromal_aggregatedNeighbors.Stroma.fibroblast
Feature n°17,Stroma_mesenchymal_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°18,Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium
Feature n°19,Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°20,NK_cells_CD56brCD16-_glandfront_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi
Feature n°21,NK_cells_CD56brCD16-TIM3hi_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium
Feature n°22,NK_cells_CD56brCD16-TIM3hi_glandfront_aggregatedNeighbors.Stroma.fibroblast
Feature n°23,NK_cells_CD56brCD16-TIM3hi_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°24,NK_cells_CD56brCD16-TIM3hi_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium
Feature n°25,NK_cells_CD56dimCD16+CD9hi_intragland_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°26,NK_cells_CD56dimCD16+CD9hi_intragland_aggregatedNeighbors.Gland.mesenchymal
Feature n°27,NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°28,NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°29,Macrophages_M2-like_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°30,Macrophages_M1_M2_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°31,Macrophages_M1_M2_stromal_aggregatedNeighbors.Macrophages.MDSC
Feature n°32,Macrophages_M1_M2_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium
Feature n°33,Macrophages_MDSC_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°34,Macrophages_MDSC_glandfront_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°35,Macrophages_MDSC_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°36,Dendritic_Cells_CD86+_stromal_aggregatedNeighbors.Stroma.mesenchymal
Feature n°37,Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°38,Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.Stroma.fibroblast
Feature n°39,Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°40,Dendritic_Cells_CD33+_intragland_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°41,Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°42,Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Gland.mesenchymal
Feature n°43,Dendritic_Cells_CD209CD86dp_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°44,Dendritic_Cells_CD209CD33dp_stromal_aggregatedNeighbors.Stroma.mesenchymal
Feature n°45,Dendritic_Cells_CD86CD33dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°46,Neutrophils_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°47,Neutrophils_glandfront_aggregatedNeighbors.Stroma.fibroblast
Feature n°48,Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal
Feature n°49,Neutrophils_glandfront_aggregatedNeighbors.Gland.fibroblast
Feature n°50,Neutrophils_stromal_aggregatedNeighbors.Neutrophils
Feature n°51,NKT_glandfront_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°52,aSMA-br_fibroblast_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium
Feature n°53,aSMA-br_mesenchymal_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°54,aSMA-br_mesenchymal_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°55,aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium
Feature n°56,Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°57,Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°58,Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast
Feature n°59,Gland_mesenchymal_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°60,Gland_fibroblast_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°61,Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.mesenchymal
Feature n°62,Gland_fibroblast_intragland_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°63,Gland_fibroblast_intragland_aggregatedNeighbors.Gland.mesenchymal
Feature n°64,Gland_fibroblast_stromal_aggregatedNeighbors.Stroma.fibroblast
Feature n°65,Gland_fibroblast_stromal_aggregatedNeighbors.Gland.fibroblast
Feature n°66,Gland_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°67,Gland_vascular_endothelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°68,Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium
Feature n°69,Gland_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium
Feature n°70,NA_glandfront_aggregatedNeighbors.Gland.mesenchymal
Feature n°71,NA_glandfront_aggregatedNeighbors.Gland.fibroblast
