,Fold selected features,Fold nb of features
Fold 0,"['PRO_LDLR', 'PRO_HSPH1', 'PRO_IL1B', 'PRO_ALK']",4
Fold 1,"['unstim_CD4Trm_Frequency', 'unstim_Tregnaive_Frequency', 'PRO_BLK', 'PRO_LDLR', 'PRO_KIF3A', 'PRO_WWOX', 'PRO_ITGAV|ITGB3', 'PRO_CD36', 'PRO_IL1B', 'PRO_CCL3', 'PRO_FCGR1A', 'PRO_B3GNT2', 'PRO_ALK']",13
Fold 2,['unstim_CD4Trm_Frequency'],1
Fold 3,"['PRO_IL31', 'PRO_TXNDC5', 'PRO_SAMHD1', 'PRO_CREBBP', 'PRO_KIF3A', 'PRO_CTCF', 'PRO_OTC', 'PRO_HSPH1', 'PRO_WWOX', 'PRO_ALDOB', 'PRO_PSMB4', 'PRO_HRAS', 'PRO_PSMB9', 'PRO_OGG1', 'PRO_ITGAV|ITGB3', 'PRO_CNTN3', 'PRO_HYOU1', 'PRO_STAC', 'PRO_CTNNA3', 'PRO_OASL', 'PRO_PROS1', 'PRO_CD36', 'PRO_IL1B', 'PRO_CCL3', 'PRO_IGHM', 'PRO_C1R', 'PRO_FCGR1A', 'PRO_NTRK1', 'PRO_SERPINA1', 'PRO_PPIB', 'PRO_BIRC3', 'PRO_CD55', 'PRO_IFNL3', 'PRO_ASAH1', 'PRO_EHMT2', 'PRO_B3GNT2', 'PRO_FTCD', 'PRO_KITLG', 'PRO_RAP2A', 'PRO_XRCC4', 'PRO_IRF6']",41
Fold 4,"['unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'PRO_IL1B', 'PRO_CCL3']",4
Fold 5,"['unstim_Th1naive_149Sm_CREB', 'unstim_CD4Trm_Frequency', 'unstim_Tregnaive_Frequency', 'LPS_Granulocytes_159Tb_MAPKAPK2', 'PRO_BLK', 'PRO_LDLR', 'PRO_WWOX', 'PRO_IL1B']",8
Fold 6,"['unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'PRO_LDLR', 'PRO_ITGAV|ITGB3', 'PRO_IL1B', 'PRO_CCL3']",6
Fold 7,"['unstim_CD4Trm_Frequency', 'PRO_CBS', 'PRO_CSF2RA', 'PRO_IL31', 'PRO_TLR4', 'PRO_BLK', 'PRO_ALDH3A1', 'PRO_ARL11', 'PRO_LDLR', 'PRO_TNFAIP3', 'PRO_OTC', 'PRO_WWOX', 'PRO_ALDOB', 'PRO_PSMB4', 'PRO_TLR5', 'PRO_ITGAV|ITGB3', 'PRO_MCAM', 'PRO_IL12A|EBI3', 'PRO_CNTN3', 'PRO_CTNNA3', 'PRO_CD36', 'PRO_IL1R1', 'PRO_IL1B', 'PRO_CCL3', 'PRO_IGHM', 'PRO_CD4', 'PRO_NTRK1', 'PRO_CSF2', 'PRO_BIRC3', 'PRO_PDE4D', 'PRO_IL18', 'PRO_ASAH1', 'PRO_ALK', 'PRO_FTCD', 'PRO_HERPUD2', 'PRO_IRF6']",36
Fold 8,"['unstim_CD4Trm_Frequency', 'PRO_WWOX', 'PRO_HRAS', 'PRO_PSMB9', 'PRO_ITGAV|ITGB3', 'PRO_IL1B', 'PRO_CCL3', 'PRO_NTRK1', 'PRO_PPIB', 'PRO_ASAH1', 'PRO_ALK']",11
Fold 9,"['unstim_CD4Trm_Frequency', 'PRO_GTF2I', 'PRO_IL1B', 'PRO_CCL3', 'PRO_ALK']",5
