,"{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.5}","{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.7}","{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.9}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.5}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.7}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.9}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.5}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.7}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.9}","{'alpha': np.float64(10.0), 'l1_ratio': 0.5}","{'alpha': np.float64(10.0), 'l1_ratio': 0.7}","{'alpha': np.float64(10.0), 'l1_ratio': 0.9}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.5}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.7}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.9}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.5}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.7}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.9}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.5}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.7}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.9}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.5}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.7}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.9}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.5}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.7}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.9}","{'alpha': np.float64(100.0), 'l1_ratio': 0.5}","{'alpha': np.float64(100.0), 'l1_ratio': 0.7}","{'alpha': np.float64(100.0), 'l1_ratio': 0.9}"
mDCs_HLADR_IFNa,0.473,0.324,0.192,0.377,0.23,0.125,0.26,0.125,0.04,0.119,0.032,0.005,0.028,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_CCR2pos_pCREB_IFNa,0.006,0.0,0.0,0.003,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granulocytes_pCREB_IFNa,0.908,0.776,0.476,0.855,0.674,0.347,0.77,0.489,0.197,0.579,0.253,0.059,0.295,0.047,0.004,0.044,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDSCs_pCREB_IFNa,0.986,0.953,0.829,0.977,0.929,0.755,0.947,0.849,0.598,0.881,0.643,0.319,0.661,0.254,0.042,0.226,0.01,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pCREB_IFNa,0.968,0.874,0.477,0.945,0.795,0.425,0.878,0.708,0.341,0.78,0.494,0.193,0.55,0.207,0.034,0.2,0.012,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pCREB_IFNa,0.993,0.975,0.841,0.988,0.941,0.771,0.966,0.858,0.642,0.89,0.678,0.385,0.702,0.322,0.088,0.305,0.03,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pCREB_IFNa,0.339,0.147,0.044,0.294,0.111,0.03,0.206,0.072,0.012,0.128,0.032,0.005,0.057,0.005,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_pNFkB_IFNa,0.157,0.068,0.012,0.148,0.073,0.014,0.147,0.064,0.016,0.121,0.039,0.006,0.056,0.007,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_CCR2pos_pNFkB_IFNa,0.013,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pNFkB_IFNa,0.489,0.307,0.145,0.44,0.261,0.113,0.366,0.194,0.073,0.258,0.086,0.021,0.103,0.016,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_pNFkB_IFNa,0.24,0.093,0.021,0.231,0.087,0.02,0.215,0.07,0.016,0.17,0.043,0.009,0.067,0.013,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pNFkB_IFNa,0.038,0.003,0.0,0.013,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tregs_pNFkB_IFNa,0.374,0.222,0.116,0.299,0.154,0.058,0.212,0.079,0.02,0.115,0.03,0.003,0.039,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pNFkB_IFNa,0.685,0.52,0.299,0.628,0.443,0.237,0.54,0.331,0.164,0.397,0.19,0.048,0.212,0.031,0.003,0.028,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD56hiCD16negNK_pNFkB_IFNa,0.253,0.11,0.047,0.13,0.035,0.008,0.042,0.006,0.001,0.009,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD56loCD16posNK_pNFkB_IFNa,0.269,0.11,0.024,0.25,0.108,0.025,0.232,0.103,0.027,0.186,0.066,0.019,0.086,0.015,0.002,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pNFkB_IFNa,0.281,0.147,0.051,0.214,0.095,0.026,0.145,0.045,0.012,0.074,0.016,0.007,0.02,0.003,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_pNFkB_IFNa,0.94,0.872,0.72,0.903,0.787,0.588,0.828,0.625,0.393,0.663,0.366,0.165,0.361,0.096,0.009,0.068,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pNFkB_IFNa,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Teff_pNFkB_IFNa,0.449,0.274,0.128,0.374,0.212,0.082,0.306,0.142,0.061,0.196,0.081,0.022,0.093,0.014,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_pNFkB_IFNa,0.381,0.163,0.032,0.339,0.147,0.032,0.297,0.124,0.03,0.218,0.062,0.009,0.083,0.007,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pNFkB_IFNa,0.359,0.181,0.052,0.329,0.146,0.042,0.268,0.118,0.029,0.167,0.047,0.007,0.061,0.005,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cpos_pNFkB_IFNa,0.138,0.038,0.005,0.122,0.033,0.001,0.118,0.031,0.004,0.092,0.023,0.002,0.038,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cneg_pNFkB_IFNa,0.528,0.341,0.1,0.534,0.332,0.119,0.5,0.305,0.122,0.418,0.2,0.058,0.236,0.038,0.003,0.029,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKT_pNFkB_IFNa,0.26,0.118,0.039,0.174,0.06,0.016,0.096,0.022,0.004,0.026,0.004,0.001,0.007,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pNFkB_IFNa,0.085,0.018,0.001,0.082,0.016,0.001,0.08,0.014,0.003,0.066,0.013,0.002,0.034,0.005,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pNFkB_IFNa,0.154,0.042,0.004,0.125,0.038,0.005,0.108,0.035,0.006,0.091,0.022,0.002,0.046,0.006,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pNFkB_IFNa,0.263,0.128,0.055,0.138,0.046,0.011,0.046,0.004,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
