,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000586)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
cMCs_IkB_IL246,0.193,0.155,0.122,0.08,0.031,0.002,0.0,0.0,0.0,0.0
mDCs_IkB_IL246,0.028,0.018,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pERK_IL246,0.128,0.086,0.048,0.021,0.004,0.001,0.0,0.0,0.0,0.0
intMCs_pERK_IL246,0.073,0.054,0.024,0.011,0.001,0.0,0.0,0.0,0.0,0.0
mDCs_pERK_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_pNFkB_IL246,0.067,0.034,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_CCR2pos_pNFkB_IL246,0.285,0.208,0.106,0.035,0.002,0.0,0.0,0.0,0.0,0.0
CD4Teff_pNFkB_IL246,0.063,0.034,0.018,0.007,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_pNFkB_IL246,0.041,0.015,0.005,0.001,0.001,0.0,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pNFkB_IL246,0.038,0.022,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pNFkB_IL246,0.215,0.154,0.108,0.08,0.044,0.002,0.0,0.0,0.0,0.0
CD56hiCD16negNK_pNFkB_IL246,0.292,0.226,0.129,0.022,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pNFkB_IL246,0.308,0.203,0.076,0.007,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_pNFkB_IL246,0.244,0.191,0.165,0.123,0.044,0.002,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pNFkB_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Teff_pNFkB_IL246,0.094,0.041,0.016,0.01,0.001,0.0,0.0,0.0,0.0,0.0
CD8Tem_pNFkB_IL246,0.083,0.031,0.002,0.003,0.003,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cpos_pNFkB_IL246,0.117,0.074,0.026,0.001,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cneg_pNFkB_IL246,0.074,0.039,0.03,0.029,0.024,0.001,0.0,0.0,0.0,0.0
cMCs_pNFkB_IL246,0.041,0.015,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pNFkB_IL246,0.095,0.05,0.021,0.007,0.003,0.0,0.0,0.0,0.0,0.0
mDCs_pNFkB_IL246,0.052,0.038,0.028,0.008,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pNFkB_IL246,0.28,0.227,0.109,0.017,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pNFkB_IL246,0.373,0.258,0.113,0.011,0.0,0.0,0.0,0.0,0.0,0.0
MDSCs_pS6_IL246,0.129,0.08,0.04,0.011,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pS6_IL246,0.184,0.137,0.066,0.004,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pS6_IL246,0.127,0.086,0.049,0.024,0.004,0.0,0.0,0.0,0.0,0.0
mDCs_pS6_IL246,0.021,0.024,0.022,0.015,0.003,0.0,0.0,0.0,0.0,0.0
Bcells_pSTAT3_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_pSTAT3_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_CCR2pos_pSTAT3_IL246,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pSTAT3_IL246,0.096,0.068,0.044,0.028,0.006,0.0,0.0,0.0,0.0,0.0
CD4Tem_pSTAT3_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pSTAT3_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_pSTAT3_IL246,0.855,0.807,0.675,0.38,0.075,0.0,0.0,0.0,0.0,0.0
CD4Tregs_pSTAT3_IL246,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pSTAT3_IL246,0.007,0.004,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CD56hiCD16negNK_pSTAT3_IL246,0.021,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pSTAT3_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_pSTAT3_IL246,0.006,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pSTAT3_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_pSTAT3_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pSTAT3_IL246,0.04,0.025,0.01,0.002,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tnaive_pSTAT3_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granulocytes_pSTAT3_IL246,0.228,0.177,0.123,0.045,0.006,0.0,0.0,0.0,0.0,0.0
MDSCs_pSTAT3_IL246,0.171,0.154,0.126,0.087,0.035,0.004,0.0,0.0,0.0,0.0
NKT_pSTAT3_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pSTAT3_IL246,0.153,0.137,0.096,0.044,0.01,0.0,0.0,0.0,0.0,0.0
intMCs_pSTAT3_IL246,0.055,0.029,0.009,0.003,0.0,0.0,0.0,0.0,0.0,0.0
mDCs_pSTAT3_IL246,0.018,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pSTAT3_IL246,0.075,0.028,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pSTAT3_IL246,0.498,0.377,0.205,0.066,0.022,0.002,0.0,0.0,0.0,0.0
Bcells_pSTAT5_IL246,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_pSTAT5_IL246,0.167,0.126,0.097,0.063,0.013,0.0,0.0,0.0,0.0,0.0
CD4Tcm_CCR2pos_pSTAT5_IL246,0.027,0.015,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pSTAT5_IL246,0.01,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_pSTAT5_IL246,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pSTAT5_IL246,0.033,0.011,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_pSTAT5_IL246,0.631,0.662,0.687,0.665,0.31,0.009,0.0,0.0,0.0,0.0
CD4Tregs_pSTAT5_IL246,0.267,0.224,0.162,0.055,0.001,0.0,0.0,0.0,0.0,0.0
CD56hiCD16negNK_pSTAT5_IL246,0.102,0.091,0.082,0.052,0.019,0.0,0.0,0.0,0.0,0.0
CD8Tcm_pSTAT5_IL246,0.102,0.092,0.103,0.038,0.004,0.0,0.0,0.0,0.0,0.0
