,"{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.5}","{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.7}","{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.9}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.5}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.7}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.9}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.5}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.7}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.9}","{'alpha': np.float64(10.0), 'l1_ratio': 0.5}","{'alpha': np.float64(10.0), 'l1_ratio': 0.7}","{'alpha': np.float64(10.0), 'l1_ratio': 0.9}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.5}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.7}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.9}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.5}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.7}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.9}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.5}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.7}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.9}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.5}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.7}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.9}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.5}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.7}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.9}","{'alpha': np.float64(100.0), 'l1_ratio': 0.5}","{'alpha': np.float64(100.0), 'l1_ratio': 0.7}","{'alpha': np.float64(100.0), 'l1_ratio': 0.9}"
CD4Tcm_CCR2pos_CD25_PI,0.387,0.241,0.155,0.294,0.168,0.104,0.227,0.121,0.056,0.165,0.066,0.012,0.072,0.012,0.002,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKT_CD25_PI,0.331,0.186,0.084,0.259,0.125,0.054,0.187,0.086,0.031,0.134,0.046,0.012,0.059,0.008,0.001,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Teff_HLADR_PI,0.622,0.427,0.242,0.493,0.282,0.126,0.331,0.135,0.038,0.151,0.032,0.001,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cpos_HLADR_PI,0.872,0.806,0.706,0.852,0.76,0.637,0.792,0.648,0.464,0.657,0.401,0.193,0.39,0.099,0.009,0.076,0.003,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_HLADR_PI,0.484,0.306,0.175,0.451,0.284,0.14,0.381,0.204,0.089,0.248,0.079,0.019,0.085,0.008,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_HLADR_PI,0.312,0.176,0.086,0.274,0.153,0.068,0.217,0.109,0.038,0.142,0.049,0.008,0.06,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mDCs_HLADR_PI,0.498,0.319,0.175,0.417,0.26,0.119,0.294,0.133,0.045,0.144,0.034,0.006,0.03,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_HLADR_PI,0.271,0.131,0.047,0.192,0.079,0.026,0.109,0.031,0.006,0.034,0.005,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_HLADR_PI,0.303,0.173,0.082,0.214,0.088,0.025,0.109,0.021,0.004,0.028,0.002,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_IkB_PI,0.213,0.11,0.037,0.213,0.101,0.032,0.197,0.095,0.031,0.175,0.059,0.014,0.099,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_IkB_PI,0.248,0.112,0.046,0.123,0.04,0.009,0.06,0.017,0.0,0.031,0.005,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_IkB_PI,0.227,0.107,0.047,0.152,0.056,0.017,0.085,0.022,0.004,0.028,0.004,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pCREB_PI,0.126,0.039,0.008,0.112,0.038,0.006,0.104,0.027,0.004,0.085,0.012,0.001,0.028,0.003,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pCREB_PI,0.165,0.053,0.018,0.076,0.024,0.006,0.045,0.016,0.002,0.028,0.006,0.0,0.012,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pCREB_PI,0.176,0.066,0.015,0.119,0.046,0.009,0.093,0.036,0.007,0.072,0.014,0.002,0.026,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granulocytes_pCREB_PI,0.466,0.239,0.078,0.385,0.167,0.059,0.275,0.11,0.025,0.153,0.043,0.007,0.052,0.003,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDSCs_pCREB_PI,0.592,0.428,0.262,0.481,0.31,0.152,0.366,0.192,0.08,0.247,0.089,0.022,0.1,0.016,0.001,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pCREB_PI,0.664,0.448,0.23,0.57,0.375,0.171,0.484,0.275,0.124,0.37,0.185,0.064,0.217,0.052,0.003,0.041,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pCREB_PI,0.32,0.179,0.067,0.312,0.175,0.068,0.29,0.149,0.053,0.229,0.087,0.022,0.118,0.015,0.001,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mDCs_pCREB_PI,0.724,0.524,0.283,0.652,0.442,0.219,0.56,0.366,0.166,0.448,0.241,0.08,0.277,0.053,0.007,0.049,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pCREB_PI,0.211,0.104,0.031,0.144,0.041,0.012,0.056,0.013,0.001,0.017,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pCREB_PI,0.181,0.063,0.023,0.079,0.024,0.002,0.028,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pERK_PI,0.329,0.183,0.069,0.241,0.097,0.024,0.15,0.036,0.008,0.067,0.013,0.002,0.019,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_pERK_PI,0.103,0.033,0.009,0.042,0.009,0.004,0.022,0.005,0.0,0.012,0.003,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pERK_PI,0.145,0.048,0.016,0.059,0.016,0.001,0.022,0.001,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pERK_PI,0.328,0.151,0.055,0.283,0.122,0.031,0.246,0.093,0.019,0.2,0.057,0.008,0.087,0.013,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pERK_PI,0.184,0.068,0.023,0.087,0.031,0.005,0.043,0.012,0.001,0.023,0.002,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_pERK_PI,0.187,0.065,0.013,0.108,0.025,0.003,0.063,0.011,0.001,0.035,0.005,0.001,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pERK_PI,0.356,0.204,0.095,0.211,0.095,0.037,0.101,0.042,0.008,0.045,0.006,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Teff_pERK_PI,0.136,0.048,0.002,0.061,0.007,0.0,0.017,0.001,0.0,0.009,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_pERK_PI,0.047,0.008,0.0,0.016,0.001,0.001,0.002,0.001,0.0,0.004,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pERK_PI,0.312,0.153,0.059,0.174,0.049,0.008,0.06,0.007,0.001,0.016,0.002,0.0,0.006,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
