,Feature Name
Feature n°1,HEMK2
Feature n°2,NEGR1
Feature n°3,C1QR1
Feature n°4,H2B2E
Feature n°5,TIMP.3
Feature n°6,Ephrin.B3
Feature n°7,Angiopoietin.2
Feature n°8,Cystatin.C
Feature n°9,IGFBP.6
Feature n°10,Siglec.6
Feature n°11,Activin.A
Feature n°12,MMP.17
Feature n°13,sFRP.3
Feature n°14,SPINT2
Feature n°15,sTie.1
Feature n°16,PAI.1
Feature n°17,SCGF.beta
Feature n°18,MIP.1a
Feature n°19,PTN
Feature n°20,PlGF
Feature n°21,TIG2
Feature n°22,ASAH2
Feature n°23,BGN
Feature n°24,TSP2
Feature n°25,Antithrombin.III
Feature n°26,FSTL3
Feature n°27,b2.Microglobulin
Feature n°28,a2.HS.Glycoprotein
Feature n°29,NID2
Feature n°30,OLR1
Feature n°31,RAP
Feature n°32,TLR4.MD.2.complex
Feature n°33,VEGF.sR2
Feature n°34,sTie.2
Feature n°35,IL.12.RB2
Feature n°36,discoidin.domain.receptor.1
Feature n°37,IP.10
Feature n°38,uPA
Feature n°39,Histone.H2A.z
Feature n°40,IL.1.R4
Feature n°41,SLPI
Feature n°42,MMP.12
Feature n°43,SCGF.alpha
Feature n°44,SLIK5
Feature n°45,VEGF121
Feature n°46,Angiogenin
Feature n°47,GDF2
Feature n°48,Stanniocalcin.1
Feature n°49,annexin.I
Feature n°50,annexin.II
Feature n°51,GPNMB
Feature n°52,Notch.1
Feature n°53,OX2G
Feature n°54,RELT
Feature n°55,FABP
Feature n°56,AFP
Feature n°57,BID
Feature n°58,S100A12
Feature n°59,ANK2
Feature n°60,PLXB2
