,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.212,0.09,0.021,0.006,0.001,0.001,0.0,0.0,0.0,0.0
artificial.2,0.019,0.02,0.011,0.004,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.184,0.107,0.048,0.006,0.0,0.0,0.0,0.0,0.0,0.0
artificial.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.5,0.309,0.183,0.055,0.004,0.0,0.0,0.0,0.0,0.0,0.0
artificial.6,0.027,0.01,0.005,0.003,0.0,0.0,0.0,0.0,0.0,0.0
artificial.7,0.103,0.044,0.021,0.005,0.003,0.001,0.0,0.0,0.0,0.0
artificial.8,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.9,0.373,0.24,0.109,0.036,0.005,0.0,0.0,0.0,0.0,0.0
artificial.10,0.552,0.343,0.094,0.004,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.257,0.141,0.042,0.006,0.001,0.0,0.0,0.0,0.0,0.0
artificial.12,0.085,0.076,0.074,0.037,0.0,0.0,0.0,0.0,0.0,0.0
artificial.13,0.142,0.069,0.02,0.001,0.001,0.0,0.0,0.0,0.0,0.0
artificial.14,0.583,0.374,0.128,0.009,0.002,0.0,0.0,0.0,0.0,0.0
artificial.15,0.139,0.037,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.132,0.055,0.018,0.005,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.23,0.162,0.106,0.044,0.006,0.0,0.0,0.0,0.0,0.0
artificial.19,0.224,0.184,0.171,0.182,0.137,0.012,0.0,0.0,0.0,0.0
artificial.20,0.108,0.045,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.21,0.3,0.131,0.04,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.22,0.058,0.035,0.022,0.008,0.0,0.0,0.0,0.0,0.0,0.0
artificial.23,0.009,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.24,0.469,0.421,0.28,0.079,0.009,0.0,0.0,0.0,0.0,0.0
artificial.25,0.043,0.019,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.26,0.025,0.012,0.005,0.004,0.001,0.0,0.0,0.0,0.0,0.0
artificial.27,0.451,0.402,0.29,0.19,0.134,0.023,0.0,0.0,0.0,0.0
artificial.28,0.117,0.061,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.29,0.237,0.237,0.15,0.077,0.024,0.0,0.0,0.0,0.0,0.0
artificial.30,0.017,0.009,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.31,0.072,0.038,0.022,0.016,0.022,0.005,0.0,0.0,0.0,0.0
artificial.32,0.293,0.248,0.16,0.039,0.001,0.0,0.0,0.0,0.0,0.0
artificial.33,0.13,0.076,0.021,0.006,0.0,0.0,0.0,0.0,0.0,0.0
artificial.34,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.35,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.36,0.06,0.041,0.03,0.037,0.049,0.011,0.0,0.0,0.0,0.0
artificial.37,0.16,0.149,0.144,0.144,0.11,0.028,0.0,0.0,0.0,0.0
artificial.38,0.165,0.081,0.03,0.014,0.005,0.0,0.0,0.0,0.0,0.0
artificial.39,0.086,0.04,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.40,0.292,0.153,0.051,0.005,0.001,0.0,0.0,0.0,0.0,0.0
artificial.41,0.085,0.05,0.019,0.007,0.001,0.0,0.0,0.0,0.0,0.0
artificial.42,0.219,0.166,0.116,0.08,0.031,0.001,0.0,0.0,0.0,0.0
artificial.43,0.129,0.052,0.013,0.005,0.001,0.0,0.0,0.0,0.0,0.0
artificial.44,0.121,0.055,0.021,0.006,0.003,0.0,0.0,0.0,0.0,0.0
artificial.45,0.091,0.051,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.46,0.144,0.064,0.024,0.009,0.002,0.0,0.0,0.0,0.0,0.0
artificial.47,0.206,0.117,0.068,0.033,0.011,0.0,0.0,0.0,0.0,0.0
artificial.48,0.024,0.014,0.011,0.014,0.013,0.002,0.0,0.0,0.0,0.0
artificial.49,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.50,0.618,0.442,0.263,0.108,0.041,0.003,0.0,0.0,0.0,0.0
artificial.51,0.128,0.068,0.027,0.011,0.007,0.001,0.0,0.0,0.0,0.0
artificial.52,0.055,0.034,0.031,0.031,0.026,0.004,0.0,0.0,0.0,0.0
artificial.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.54,0.045,0.009,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.55,0.029,0.021,0.015,0.005,0.001,0.0,0.0,0.0,0.0,0.0
artificial.56,0.008,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.57,0.236,0.167,0.092,0.008,0.0,0.0,0.0,0.0,0.0,0.0
artificial.58,0.082,0.035,0.02,0.008,0.001,0.0,0.0,0.0,0.0,0.0
artificial.59,0.16,0.113,0.078,0.033,0.002,0.0,0.0,0.0,0.0,0.0
artificial.60,0.014,0.013,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.61,0.221,0.127,0.073,0.024,0.0,0.0,0.0,0.0,0.0,0.0
artificial.62,0.137,0.078,0.041,0.022,0.01,0.002,0.0,0.0,0.0,0.0
artificial.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.64,0.114,0.037,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.65,0.507,0.418,0.305,0.125,0.006,0.0,0.0,0.0,0.0,0.0
artificial.66,0.179,0.083,0.018,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.67,0.087,0.027,0.006,0.004,0.001,0.0,0.0,0.0,0.0,0.0
artificial.68,0.355,0.319,0.292,0.263,0.212,0.037,0.0,0.0,0.0,0.0
artificial.69,0.005,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.70,0.359,0.307,0.269,0.176,0.02,0.0,0.0,0.0,0.0,0.0
artificial.71,0.353,0.377,0.392,0.364,0.159,0.003,0.0,0.0,0.0,0.0
artificial.72,0.35,0.285,0.188,0.071,0.007,0.0,0.0,0.0,0.0,0.0
artificial.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.74,0.437,0.256,0.069,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.75,0.057,0.018,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.77,0.002,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.78,0.647,0.643,0.611,0.475,0.246,0.023,0.0,0.0,0.0,0.0
artificial.79,0.081,0.044,0.023,0.01,0.003,0.0,0.0,0.0,0.0,0.0
artificial.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.81,0.017,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.82,0.14,0.063,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.83,0.27,0.179,0.088,0.039,0.009,0.0,0.0,0.0,0.0,0.0
artificial.84,0.448,0.295,0.12,0.005,0.0,0.0,0.0,0.0,0.0,0.0
artificial.85,0.069,0.051,0.058,0.081,0.074,0.015,0.0,0.0,0.0,0.0
artificial.86,0.698,0.64,0.547,0.393,0.187,0.011,0.0,0.0,0.0,0.0
artificial.87,0.307,0.167,0.05,0.014,0.001,0.0,0.0,0.0,0.0,0.0
artificial.88,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.89,0.056,0.025,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.90,0.437,0.296,0.162,0.107,0.086,0.01,0.0,0.0,0.0,0.0
artificial.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.92,0.524,0.359,0.244,0.167,0.076,0.001,0.0,0.0,0.0,0.0
artificial.93,0.111,0.055,0.017,0.002,0.0,0.0,0.0,0.0,0.0,0.0
