,"{'C': np.float64(0.01), 'l1_ratio': 0.5}","{'C': np.float64(0.01), 'l1_ratio': 0.9}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.5}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.9}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.5}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.9}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.5}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.9}","{'C': np.float64(10.0), 'l1_ratio': 0.5}","{'C': np.float64(10.0), 'l1_ratio': 0.9}"
PRO_CRYBB2,0.0,0.0,0.0,0.0,0.076,0.0,0.243,0.121,0.586,0.415
PRO_VDR,0.0,0.0,0.0,0.0,0.026,0.002,0.228,0.116,0.477,0.379
PRO_DUSP4,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.004,0.294,0.131
PRO_WNT10A,0.0,0.0,0.0,0.0,0.002,0.0,0.028,0.003,0.271,0.125
PRO_NCF2,0.0,0.0,0.0,0.0,0.012,0.0,0.109,0.039,0.445,0.278
PRO_FOXM1,0.0,0.0,0.0,0.0,0.004,0.0,0.023,0.011,0.193,0.084
PRO_PLCG2,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.001,0.226,0.065
PRO_BAG3,0.0,0.0,0.0,0.0,0.005,0.0,0.036,0.011,0.272,0.139
PRO_CBS,0.0,0.0,0.0,0.0,0.009,0.001,0.083,0.029,0.421,0.237
PRO_CRYAA,0.0,0.0,0.0,0.0,0.046,0.004,0.192,0.104,0.504,0.346
PRO_JUN,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.002,0.281,0.129
PRO_OAS1,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.006,0.345,0.152
PRO_MYC,0.0,0.0,0.016,0.002,0.073,0.037,0.122,0.072,0.433,0.267
PRO_SMAD3,0.0,0.0,0.0,0.0,0.008,0.0,0.016,0.006,0.163,0.054
PRO_IL12B|IL23A,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.009,0.353,0.185
PRO_PDGFRA,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.011,0.396,0.214
PRO_IL12A|IL12B,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.344,0.142
PRO_STAT6,0.0,0.0,0.327,0.054,0.455,0.397,0.403,0.401,0.619,0.435
PRO_B4GALT5,0.0,0.0,0.0,0.0,0.001,0.0,0.056,0.016,0.354,0.192
PRO_CSF2RA,0.0,0.0,0.002,0.0,0.045,0.009,0.155,0.074,0.493,0.336
PRO_NUCB1,0.0,0.0,0.002,0.0,0.019,0.003,0.106,0.036,0.418,0.25
PRO_IL31,0.0,0.0,0.046,0.002,0.171,0.084,0.179,0.138,0.402,0.241
PRO_NRAS,0.0,0.0,0.0,0.0,0.001,0.0,0.02,0.004,0.277,0.125
PRO_KLRC4,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.013,0.504,0.31
PRO_GLB1,0.0,0.0,0.01,0.0,0.043,0.016,0.071,0.039,0.322,0.172
PRO_ACE,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.002,0.346,0.162
PRO_CD58,0.0,0.0,0.0,0.0,0.026,0.004,0.106,0.045,0.431,0.248
PRO_TLR4,0.0,0.0,0.037,0.002,0.128,0.074,0.256,0.152,0.604,0.446
PRO_HSPB1,0.0,0.0,0.025,0.001,0.184,0.088,0.218,0.176,0.455,0.273
PRO_ENO1,0.0,0.0,0.013,0.002,0.016,0.005,0.015,0.009,0.161,0.051
PRO_TENM3,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.04,0.599,0.44
PRO_CLEC12A,0.0,0.0,0.0,0.0,0.032,0.007,0.144,0.052,0.514,0.333
PRO_HNF1A,0.0,0.0,0.0,0.0,0.005,0.0,0.087,0.025,0.526,0.33
PRO_CXADR,0.0,0.0,0.0,0.0,0.008,0.001,0.119,0.043,0.435,0.281
PRO_TBCE,0.0,0.0,0.001,0.0,0.001,0.0,0.005,0.001,0.106,0.027
PRO_TXNDC5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.009,0.366,0.191
PRO_TPMT,0.0,0.0,0.0,0.0,0.006,0.0,0.071,0.024,0.404,0.214
PRO_ALDH1A1,0.0,0.0,0.0,0.0,0.003,0.0,0.052,0.012,0.386,0.209
PRO_ATF6,0.0,0.0,0.002,0.0,0.153,0.052,0.384,0.225,0.695,0.541
PRO_LAIR1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.002,0.251,0.094
PRO_NT5C2,0.0,0.0,0.0,0.0,0.001,0.0,0.023,0.004,0.245,0.102
PRO_SAMHD1,0.0,0.0,0.218,0.021,0.468,0.379,0.477,0.451,0.656,0.518
PRO_RAG1,0.001,0.0,0.05,0.006,0.183,0.096,0.226,0.141,0.518,0.363
PRO_MRE11,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.15,0.056
PRO_BLK,0.0,0.0,0.122,0.017,0.32,0.155,0.534,0.359,0.835,0.727
PRO_TALDO1,0.0,0.0,0.0,0.0,0.002,0.0,0.017,0.005,0.237,0.087
PRO_NHEJ1,0.0,0.0,0.0,0.0,0.004,0.0,0.256,0.096,0.707,0.559
PRO_AQP4,0.0,0.0,0.0,0.0,0.001,0.0,0.065,0.019,0.422,0.232
PRO_AK2,0.0,0.0,0.0,0.0,0.001,0.0,0.008,0.001,0.116,0.032
PRO_MVK,0.0,0.0,0.002,0.0,0.055,0.012,0.122,0.063,0.447,0.243
PRO_KMT2C,0.0,0.0,0.0,0.0,0.006,0.0,0.06,0.016,0.361,0.199
PRO_CARD9,0.0,0.0,0.0,0.0,0.003,0.0,0.016,0.003,0.269,0.094
PRO_RELB,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.001,0.131,0.043
PRO_ALDH3A1,0.0,0.0,0.0,0.0,0.003,0.0,0.049,0.014,0.318,0.156
PRO_MYSM1,0.0,0.0,0.004,0.0,0.041,0.012,0.053,0.038,0.24,0.105
PRO_FOXO3,0.0,0.0,0.001,0.0,0.007,0.002,0.069,0.019,0.345,0.198
PRO_MUSK,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.006,0.324,0.175
PRO_DNM2,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.073,0.017
PRO_MGA,0.0,0.0,0.138,0.01,0.335,0.185,0.494,0.351,0.803,0.674
PRO_DAPP1,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.041,0.008
PRO_MYB,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.005,0.364,0.192
PRO_NRSN1,0.0,0.0,0.0,0.0,0.007,0.002,0.064,0.017,0.432,0.237
PRO_TXNIP,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.128,0.031
PRO_JAK2,0.0,0.0,0.002,0.0,0.01,0.0,0.025,0.005,0.192,0.083
PRO_PIEZO1,0.0,0.0,0.0,0.0,0.006,0.0,0.063,0.02,0.385,0.205
PRO_SMAD4,0.0,0.0,0.0,0.0,0.003,0.0,0.024,0.007,0.219,0.089
PRO_HSPA1L,0.0,0.0,0.0,0.0,0.002,0.0,0.059,0.017,0.372,0.213
PRO_RPS6KA1,0.0,0.0,0.001,0.0,0.028,0.005,0.129,0.05,0.472,0.296
PRO_SHMT1,0.0,0.0,0.0,0.0,0.003,0.0,0.033,0.016,0.302,0.145
PRO_ETS2,0.0,0.0,0.001,0.0,0.026,0.008,0.087,0.037,0.401,0.222
PRO_TAPBP,0.0,0.0,0.0,0.0,0.003,0.0,0.066,0.018,0.372,0.203
PRO_DDX58,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.004,0.322,0.157
