,"{'C': np.float64(0.01), 'l1_ratio': 0.5}","{'C': np.float64(0.01), 'l1_ratio': 0.9}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.5}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.9}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.5}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.9}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.5}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.9}","{'C': np.float64(10.0), 'l1_ratio': 0.5}","{'C': np.float64(10.0), 'l1_ratio': 0.9}"
LPS_Baso_149Sm_CREB,0.0,0.0,0.003,0.0,0.064,0.016,0.213,0.087,0.575,0.358
LPS_Baso_151Eu_p38,0.0,0.0,0.0,0.0,0.066,0.013,0.248,0.099,0.65,0.428
LPS_Baso_155Gd_S6,0.0,0.0,0.076,0.002,0.456,0.305,0.546,0.409,0.787,0.629
LPS_Baso_159Tb_MAPKAPK2,0.0,0.0,0.005,0.0,0.102,0.019,0.306,0.128,0.681,0.468
LPS_Baso_164Dy_IkB,0.0,0.0,0.0,0.0,0.14,0.032,0.321,0.188,0.631,0.45
LPS_Baso_166Er_NFkB,0.0,0.0,0.0,0.0,0.068,0.016,0.187,0.072,0.567,0.336
LPS_Bcells_149Sm_CREB,0.0,0.0,0.019,0.002,0.108,0.032,0.242,0.119,0.582,0.368
LPS_Bcells_159Tb_MAPKAPK2,0.0,0.0,0.001,0.0,0.003,0.0,0.041,0.007,0.437,0.191
LPS_Bcells_164Dy_IkB,0.0,0.0,0.078,0.007,0.185,0.064,0.342,0.187,0.618,0.454
LPS_Bcells_166Er_NFkB,0.0,0.0,0.0,0.0,0.005,0.0,0.041,0.007,0.434,0.197
LPS_CD56brightCD16negNK_149Sm_CREB,0.0,0.0,0.102,0.014,0.284,0.188,0.445,0.286,0.757,0.569
LPS_CD56brightCD16negNK_155Gd_S6,0.0,0.0,0.012,0.0,0.177,0.061,0.374,0.197,0.729,0.553
LPS_CD56brightCD16negNK_159Tb_MAPKAPK2,0.0,0.0,0.045,0.0,0.406,0.248,0.601,0.447,0.846,0.705
LPS_CD56brightCD16negNK_164Dy_IkB,0.0,0.0,0.015,0.0,0.13,0.054,0.33,0.15,0.704,0.5
LPS_CD56brightCD16negNK_166Er_NFkB,0.0,0.0,0.018,0.0,0.473,0.25,0.647,0.51,0.871,0.757
LPS_CD56dimCD16posNK_149Sm_CREB,0.0,0.0,0.003,0.0,0.035,0.003,0.105,0.024,0.441,0.189
LPS_CD56dimCD16posNK_159Tb_MAPKAPK2,0.0,0.0,0.001,0.0,0.001,0.0,0.046,0.004,0.382,0.185
LPS_CD56dimCD16posNK_164Dy_IkB,0.0,0.0,0.005,0.0,0.015,0.002,0.078,0.014,0.366,0.18
LPS_CD56dimCD16posNK_166Er_NFkB,0.0,0.0,0.002,0.0,0.032,0.007,0.193,0.069,0.573,0.35
LPS_cMC_149Sm_CREB,0.0,0.0,0.0,0.0,0.002,0.0,0.042,0.008,0.411,0.175
LPS_cMC_151Eu_p38,0.0,0.0,0.0,0.0,0.009,0.001,0.034,0.009,0.397,0.169
LPS_cMC_155Gd_S6,0.0,0.0,0.001,0.0,0.031,0.006,0.143,0.039,0.482,0.259
LPS_cMC_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.006,0.0,0.064,0.011,0.502,0.251
LPS_cMC_164Dy_IkB,0.0,0.0,0.0,0.0,0.012,0.002,0.075,0.014,0.433,0.237
