,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
CD4Tcm_CD25_IL33,0.426,0.385,0.357,0.294,0.126,0.004,0.0,0.0,0.0,0.0
CD4Tregs_CD25_IL33,0.38,0.255,0.142,0.079,0.031,0.0,0.0,0.0,0.0,0.0
cMCs_CD25_IL33,0.008,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tregs_HLADR_IL33,0.665,0.489,0.272,0.07,0.001,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_HLADR_IL33,0.243,0.191,0.138,0.08,0.047,0.0,0.0,0.0,0.0,0.0
CD8Tem_HLADR_IL33,0.384,0.281,0.155,0.065,0.011,0.0,0.0,0.0,0.0,0.0
cMCs_HLADR_IL33,0.406,0.264,0.127,0.036,0.006,0.0,0.0,0.0,0.0,0.0
MDSCs_pCREB_IL33,0.749,0.682,0.596,0.464,0.252,0.019,0.0,0.0,0.0,0.0
cMCs_pCREB_IL33,0.156,0.184,0.222,0.233,0.17,0.014,0.0,0.0,0.0,0.0
intMCs_pCREB_IL33,0.356,0.264,0.162,0.119,0.083,0.009,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pMK2_IL33,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pMK2_IL33,0.158,0.06,0.021,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pNFkB_IL33,0.635,0.526,0.384,0.234,0.08,0.002,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pNFkB_IL33,0.496,0.348,0.211,0.132,0.033,0.002,0.0,0.0,0.0,0.0
CD56hiCD16negNK_pNFkB_IL33,0.451,0.218,0.071,0.03,0.007,0.0,0.0,0.0,0.0,0.0
CD8Tcm_pNFkB_IL33,0.322,0.264,0.214,0.129,0.027,0.003,0.0,0.0,0.0,0.0
CD8Tem_pNFkB_IL33,0.218,0.093,0.023,0.007,0.005,0.0,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pNFkB_IL33,0.317,0.157,0.063,0.022,0.003,0.0,0.0,0.0,0.0,0.0
Granulocytes_pNFkB_IL33,0.255,0.116,0.055,0.028,0.014,0.0,0.0,0.0,0.0,0.0
cMCs_pNFkB_IL33,0.518,0.326,0.111,0.012,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pNFkB_IL33,0.39,0.297,0.179,0.032,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pNFkB_IL33,0.381,0.31,0.164,0.022,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pp38_IL33,0.067,0.054,0.024,0.001,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_pS6_IL33,0.652,0.549,0.356,0.103,0.004,0.0,0.0,0.0,0.0,0.0
CD56hiCD16negNK_pS6_IL33,0.177,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pS6_IL33,0.787,0.751,0.632,0.285,0.019,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pS6_IL33,0.012,0.019,0.027,0.026,0.008,0.0,0.0,0.0,0.0,0.0
MDSCs_pS6_IL33,0.087,0.02,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKT_pS6_IL33,0.109,0.056,0.026,0.011,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pS6_IL33,0.044,0.013,0.007,0.002,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pS6_IL33,0.075,0.019,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tnaive_pSTAT3_IL33,0.197,0.055,0.004,0.002,0.004,0.0,0.0,0.0,0.0,0.0
Granulocytes_pSTAT3_IL33,0.391,0.265,0.173,0.076,0.01,0.0,0.0,0.0,0.0,0.0
NKT_pSTAT3_IL33,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKT_pSTAT5_IL33,0.486,0.467,0.466,0.46,0.385,0.019,0.0,0.0,0.0,0.0
pDCs_pSTAT5_IL33,0.511,0.344,0.176,0.069,0.044,0.0,0.0,0.0,0.0,0.0
Bcells_pSTAT6_IL33,0.001,0.0,0.0,0.003,0.002,0.0,0.0,0.0,0.0,0.0
MDSCs_pSTAT6_IL33,0.002,0.002,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.0
cMCs_pSTAT6_IL33,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pSTAT6_IL33,0.007,0.004,0.002,0.003,0.003,0.0,0.0,0.0,0.0,0.0
mDCs_pSTAT6_IL33,0.004,0.002,0.003,0.0,0.001,0.0,0.0,0.0,0.0,0.0
