,Feature Name
Feature n°1,IL246_Baso_159Tb_MAPKAPK2
Feature n°2,IL246_Bcells_150Nd_STAT5
Feature n°3,IL246_Bcells_154Sm_STAT3
Feature n°4,IL246_Bcells_155Gd_S6
Feature n°5,IL246_Bcells_159Tb_MAPKAPK2
Feature n°6,IL246_Bcells_168Er_pSTAT6
Feature n°7,IL246_CD4T_150Nd_STAT5
Feature n°8,IL246_CD4Tnaive_153Eu_STAT1
Feature n°9,IL246_CD4Tnaive_154Sm_STAT3
Feature n°10,IL246_CD4Trm_154Sm_STAT3
Feature n°11,IL246_CD4Trm_167Er_ERK
Feature n°12,IL246_CD56brightCD16negNK_149Sm_CREB
Feature n°13,IL246_CD56brightCD16negNK_155Gd_S6
Feature n°14,IL246_CD56brightCD16negNK_166Er_NFkB
Feature n°15,IL246_CD8T_154Sm_STAT3
Feature n°16,IL246_CD8Tcm_154Sm_STAT3
Feature n°17,IL246_CD8Tcm_167Er_ERK
Feature n°18,IL246_CD8Tem_154Sm_STAT3
Feature n°19,IL246_CD8Tnaive_154Sm_STAT3
Feature n°20,IL246_CD8Trm_168Er_pSTAT6
Feature n°21,IL246_cMC_149Sm_CREB
Feature n°22,IL246_cMC_153Eu_STAT1
Feature n°23,IL246_CXCR4neutro_150Nd_STAT5
Feature n°24,IL246_CXCR4neutro_154Sm_STAT3
Feature n°25,IL246_CXCR4neutro_168Er_pSTAT6
Feature n°26,IL246_DC_149Sm_CREB
Feature n°27,IL246_DC_150Nd_STAT5
Feature n°28,IL246_DC_151Eu_p38
Feature n°29,IL246_DC_154Sm_STAT3
Feature n°30,IL246_DC_155Gd_S6
Feature n°31,IL246_DC_159Tb_MAPKAPK2
Feature n°32,IL246_DC_166Er_NFkB
Feature n°33,IL246_DC_168Er_pSTAT6
Feature n°34,IL246_gdT_149Sm_CREB
Feature n°35,IL246_gdT_150Nd_STAT5
Feature n°36,IL246_gdT_154Sm_STAT3
Feature n°37,IL246_Granulocytes_154Sm_STAT3
Feature n°38,IL246_Granulocytes_155Gd_S6
Feature n°39,IL246_Granulocytes_164Dy_IkB
Feature n°40,IL246_Granulocytes_166Er_NFkB
Feature n°41,IL246_intMC_150Nd_STAT5
Feature n°42,IL246_intMC_153Eu_STAT1
Feature n°43,IL246_intMC_154Sm_STAT3
Feature n°44,IL246_mDC_155Gd_S6
Feature n°45,IL246_mDC_164Dy_IkB
Feature n°46,IL246_mDC_166Er_NFkB
Feature n°47,IL246_mDC_167Er_ERK
Feature n°48,IL246_MDSC_149Sm_CREB
Feature n°49,IL246_MDSC_153Eu_STAT1
Feature n°50,IL246_MDSC_154Sm_STAT3
Feature n°51,IL246_ncMC_154Sm_STAT3
Feature n°52,IL246_ncMC_155Gd_S6
Feature n°53,IL246_NKT_154Sm_STAT3
Feature n°54,IL246_pDC_150Nd_STAT5
Feature n°55,IL246_Th1_149Sm_CREB
Feature n°56,IL246_Th1_155Gd_S6
Feature n°57,IL246_Th1mem_151Eu_p38
Feature n°58,IL246_Th1mem_153Eu_STAT1
Feature n°59,IL246_Th1mem_154Sm_STAT3
Feature n°60,IL246_Th1mem_159Tb_MAPKAPK2
Feature n°61,IL246_Th1mem_164Dy_IkB
Feature n°62,IL246_Th1mem_166Er_NFkB
Feature n°63,IL246_Th1mem_167Er_ERK
Feature n°64,IL246_Th1naive_149Sm_CREB
Feature n°65,IL246_Th1naive_151Eu_p38
Feature n°66,IL246_Th1naive_153Eu_STAT1
Feature n°67,IL246_Th1naive_154Sm_STAT3
Feature n°68,IL246_Th1naive_155Gd_S6
Feature n°69,IL246_Th1naive_159Tb_MAPKAPK2
Feature n°70,IL246_Th1naive_164Dy_IkB
Feature n°71,IL246_Th1naive_167Er_ERK
Feature n°72,IL246_Th1naive_168Er_pSTAT6
Feature n°73,IL246_Th2_151Eu_p38
Feature n°74,IL246_Th2_167Er_ERK
Feature n°75,IL246_Treg_150Nd_STAT5
Feature n°76,IL246_Treg_154Sm_STAT3
Feature n°77,IL246_Tregmem_150Nd_STAT5
Feature n°78,IL246_Tregmem_154Sm_STAT3
Feature n°79,IL246_Tregnaive_149Sm_CREB
Feature n°80,IL246_Tregnaive_150Nd_STAT5
Feature n°81,IL246_Tregnaive_151Eu_p38
Feature n°82,IL246_Tregnaive_153Eu_STAT1
Feature n°83,IL246_Tregnaive_155Gd_S6
Feature n°84,IL246_Tregnaive_166Er_NFkB
Feature n°85,IL246_Tregnaive_168Er_pSTAT6
