,Feature Name
Feature n°1,CD4_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°2,CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°3,CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast
Feature n°4,CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°5,CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.fibroblast
Feature n°6,CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°7,CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal
Feature n°8,CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Macrophages.M2.like
Feature n°9,CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°10,CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°11,CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°12,CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal
Feature n°13,CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°14,CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.fibroblast
Feature n°15,CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.fibroblast
Feature n°16,CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.mesenchymal
Feature n°17,CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast
Feature n°18,CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°19,CD4_T_cells_CD11b+_glandfront_aggregatedNeighbors.Stroma.fibroblast
Feature n°20,CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast
Feature n°21,CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°22,CD8_T_cells_CD11b+_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°23,Stroma_mesenchymal_stromal_aggregatedNeighbors.Stroma.mesenchymal
Feature n°24,Stroma_mesenchymal_stromal_aggregatedNeighbors.Stroma.fibroblast
Feature n°25,Stroma_mesenchymal_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°26,Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium
Feature n°27,Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°28,Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium
Feature n°29,Stroma_fibroblast_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°30,NK_cells_CD56brCD16-_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°31,NK_cells_CD56brCD16-_glandfront_aggregatedNeighbors.Stroma.fibroblast
Feature n°32,NK_cells_CD56brCD16-_glandfront_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi
Feature n°33,NK_cells_CD56brCD16-_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°34,NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi
Feature n°35,NK_cells_CD56dimCD16+_glandfront_aggregatedNeighbors.Stroma.fibroblast
Feature n°36,NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi
Feature n°37,NK_cells_CD56brCD16-TIM3hi_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium
Feature n°38,NK_cells_CD56brCD16-TIM3hi_glandfront_aggregatedNeighbors.Stroma.fibroblast
Feature n°39,NK_cells_CD56brCD16-TIM3hi_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°40,NK_cells_CD56brCD16-TIM3hi_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium
Feature n°41,NK_cells_CD56dimCD16+CD9hi_intragland_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°42,NK_cells_CD56dimCD16+CD9hi_intragland_aggregatedNeighbors.Gland.mesenchymal
Feature n°43,NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°44,NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°45,NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°46,Macrophages_M1-like_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°47,Macrophages_M2-like_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°48,Macrophages_M1_M2_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°49,Macrophages_M1_M2_stromal_aggregatedNeighbors.Macrophages.M2.like
Feature n°50,Macrophages_M1_M2_stromal_aggregatedNeighbors.Macrophages.MDSC
Feature n°51,Macrophages_M1_M2_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium
Feature n°52,Macrophages_MDSC_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°53,Macrophages_MDSC_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°54,Macrophages_MDSC_glandfront_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°55,Macrophages_MDSC_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°56,Dendritic_Cells_CD86+_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°57,Dendritic_Cells_CD86+_stromal_aggregatedNeighbors.Stroma.mesenchymal
Feature n°58,Dendritic_Cells_CD86+_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°59,Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°60,Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.Stroma.fibroblast
Feature n°61,Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°62,Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°63,Dendritic_Cells_CD33+_intragland_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°64,Dendritic_Cells_CD33+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium
Feature n°65,Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°66,Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°67,Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Gland.mesenchymal
Feature n°68,Dendritic_Cells_CD209CD86dp_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°69,Dendritic_Cells_CD209CD33dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°70,Dendritic_Cells_CD209CD33dp_glandfront_aggregatedNeighbors.Gland.mesenchymal
Feature n°71,Dendritic_Cells_CD209CD33dp_stromal_aggregatedNeighbors.Stroma.mesenchymal
Feature n°72,Dendritic_Cells_CD86CD33dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°73,Neutrophils_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°74,Neutrophils_glandfront_aggregatedNeighbors.Stroma.fibroblast
Feature n°75,Neutrophils_glandfront_aggregatedNeighbors.Neutrophils
Feature n°76,Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal
Feature n°77,Neutrophils_glandfront_aggregatedNeighbors.Gland.fibroblast
Feature n°78,Neutrophils_stromal_aggregatedNeighbors.Stroma.mesenchymal
Feature n°79,Neutrophils_stromal_aggregatedNeighbors.Neutrophils
Feature n°80,Neutrophils_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°81,NKT_glandfront_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°82,aSMA-br_fibroblast_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium
Feature n°83,aSMA-br_mesenchymal_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°84,aSMA-br_mesenchymal_stromal_aggregatedNeighbors.Stroma.mesenchymal
Feature n°85,aSMA-br_mesenchymal_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°86,aSMA-br_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium
Feature n°87,aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium
Feature n°88,Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°89,Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°90,Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast
Feature n°91,Gland_mesenchymal_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°92,Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.fibroblast
Feature n°93,Gland_mesenchymal_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°94,Gland_fibroblast_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°95,Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°96,Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.mesenchymal
Feature n°97,Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.fibroblast
Feature n°98,Gland_fibroblast_intragland_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°99,Gland_fibroblast_intragland_aggregatedNeighbors.Gland.mesenchymal
Feature n°100,Gland_fibroblast_stromal_aggregatedNeighbors.Stroma.fibroblast
Feature n°101,Gland_fibroblast_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°102,Gland_fibroblast_stromal_aggregatedNeighbors.Gland.fibroblast
Feature n°103,Gland_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°104,Gland_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium
Feature n°105,Gland_vascular_endothelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°106,Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium
Feature n°107,Gland_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°108,Gland_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium
Feature n°109,NA_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°110,NA_glandfront_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°111,NA_glandfront_aggregatedNeighbors.Gland.mesenchymal
Feature n°112,NA_glandfront_aggregatedNeighbors.Gland.fibroblast
Feature n°113,NA_stromal_aggregatedNeighbors.Stroma.mesenchymal
